,id,title,synopsis,genres,tags,director,production_company
0,1,NAIROBI HALF LIFE,"The Award-winning Story of a young, aspiring Actor from upcountry Kenya (Joseph Wairimu) who Dreams of becoming a Success in the big City. In pursuit of this, but to the Chagrin of his Brother and Parents, he Makes his Way to Nairobi - the City of Opportunity. Or is it?","[""#OwnForLife Offer: KES199 or $1.99 (Diaspora)"",""26% Off in our Birthday Month"",""Action"",""Adventure"",""Crime"",""Drama"",""Suspense""]","Joseph Wairimu, Olwenya Maina, Nancy Wanjiku Karanja, Mugambi Nthiga, Tosh Gitonga",David Love,XYZ Nation
1,2,KATUTURA,"In this Township of Windhoek, ex-convict Dangi (Chops Tshoopara) has to Deal with Living a Law-abiding Life, an Extramarital Son and an Old Flame who his Wife doesn't Know about. ","[""Action"",""Crime"",""Drama"",""Suspense""]","Chops Tshoopara, Obed Emvula, Gift Uzera, Odille Muller, Florian Schott",Ernest Rojas,Jingle Bells
2,3,SOUL BOY,"This is the story of 14 year-old Abila (Samson Odhiambo). One morning the teenager discovers his Father (Joab Ogolla) is ill and delirious; someone has 'stolen his soul'. Shocked and confused, he goes in search of a suitable cure with the support of his friend Shiku (Leila Dayan Opou). 

He learns that his father has gambled his soul away in the company of a spiritual woman and in order to save his Father's soul, a witch (Krysteen Savane) gives him seven challenging tasks that Abila embarks on, leading him right through the microcosm of his home town.","[""#OwnForLife Offer: KES199 or $1.99 (Diaspora)"",""Adventure"",""Christmas Under Curfew"",""Drama"",""Family"",""Family Screen Time"",""Madaraka Day Weekend Movie Marathon Offer"",""Supernatural"",""Suspense"",""Thriller""]","Samson Odhiambo, Leila Dayan Opou, Krysteen Savane, Frank Kimani, Hawa Essuman",Jennifer Roberts,Fluent
3,4,KATI KATI,"A young woman - Kaleche (Nyokabi Gethaiga), with No Memory of her Life or Death, is Helped with Assimilation to the Afterlife by a Ghost called Thoma (Elsaphan Njora).","[""Drama"",""Madaraka Day Weekend Movie Marathon Offer"",""Supernatural"",""Suspense"",""Thriller""]","Nyokabi Gethaiga, Elsaphan Njora, Paul Ogola, Peter King Nzioki, Mbithi Masya",Deborah Garrett,Good Guys
4,5,SOMETHING NECESSARY,"Award-winning Director Judy Kibinge, tells the Story of Anne (Susan Wanjiru) - a Woman struggling to Rebuild her Life, after the 2007/2008 Post Election Violence in Kenya killed her Husband, claimed the Health of her Son and left her isolated Farm in Ruins. Joseph (Walter Kipchumba Lagat) - a troubled young Gang Member, who Participated in the countrywide Violence, is Drawn to Anne and her Farm, seemingly in Search of Redemption. Both he and Anne need Something that only the Other can Give - to Allow them to Shed the Painful Memories of their Past and move on; but will Either of them Find it?","[""Crime"",""Drama"",""Family"",""Madaraka Day Weekend Movie Marathon Offer"",""Political""]","Hilda Jepkoech, Kipngeno Kirui Duncan, Carolyne Chebiwott Kibet, Anne Kimani, Judy Kibinge",Katie Rose,Allies Brothers
5,6,VEVE,"An Award-winning Film that Follows the Lives of multiple Individuals trying to Find Themselves in a World of political Intrigue, Revenge, Love and Longings for Success; complemented by the Background of the Thriving, yet unregulated, Veve (Miraa) business in Meru County. Amos (Lowry Odhiambo) - an ambitious Politician, is Running for another Term as Maua MP, whilst facing his Opponent - Wadu (Abubakar Mire), in the Expansion of his Veve Empire. His wife Esther (Lizz Njagah) discovers the true Nature of his Affairs and seeks Solace in Kenzo (Emo Rugene) - a Conflicted young man out to seek Vengeance for his Father's death. All are in Search of Purpose, not knowing that their Destinies are Entwined.","[""Action"",""Crime"",""Drama"",""Madaraka Day Weekend Movie Marathon Offer"",""Political"",""Romance"",""Thriller""]","Emo Rugene, Lowry Odhiambo, Lizz Njagah, Conrad Makeni, Simon Mukali, Natasha Likimani ",Ernest Rojas,Funny Entertainment
6,7,THE BODA BODA THIEVES,"This is the Story of 15 year-old Abel (Hassan 'Spike' Insingoma), who takes-up the Responsibility of Running his Father’s 'Boda Boda', to Provide for the Family.  Abel, however, is always on the Lookout for a Shortcut; so when a local Hustler - Lex (Saul Mwesigwa) offers him the Chance of being a Snatch & Grab get-away Driver, he jumps Headlong into a World of easy Money and quick Thrills.","[""Action"",""Adventure"",""Crime"",""Drama"",""Family"",""Thriller"",""Throwback Thursday Offer""]","Hassan 'Spike' Insingoma, Saul Mwesigwa, Prossy Rukundo, Micheal Wawuyo, Donald Mugisha ",Ryan Shelton,The Truth
7,8,MUSIC IS OUR WEAPON,"A film portraying the philosophy, history and fight-for-justice of the most enthralling band in Kenya (SARABI), which continues to build a bridge between all different social classes with their music and inspires a population living in abject poverty.

MUSIC IS OUR WEAPON  is a metaphorical journey of a young vibrant band that never ceases to believe that music is a weapon of Change.","[""Activism"",""Madaraka Day Weekend Movie Marathon Offer"",""Music"",""Political"",""Reality"",""True Story""]","Sarabi, George Nderitu, Nelson Mandela, Adam Mwadama, Taye Balogun",Cassandra Diaz,Funny Entertainment
8,9,NI SISI,"NI SISI tells the story of a typical Kenyan village, a harmonious muddle of tribes, intermarriages and extended families, in the context of post-election violence. The characters explore issues of corruption, political bribery, racism and gossip. Friends who have lived and worked together all their lives are consumed by rumours and mistrust. However, horrific consequences are avoided when the community pulls together to avert further violence.","[""Comedy"",""Drama"",""Family"",""Madaraka Day Weekend Movie Marathon Offer"",""Political"",""Romance""]","Ednah Daisy, Peter Paul Kades, Peter King, Ali Mohammed Mlatso, Nick Reding ",Ryan Shelton,Arrowhead
9,10,WATATU,"Yusuf (Said Muhsin) is a young university graduate suffering discrimination, lack of opportunity and is raging against injustice. He slowly becomes seduced by extremist thoughts, which leaves his family powerless to dissuade him. His Uncle Salim (Ali Mlatso), the only father figure in his life, is helpless in the face of his nephew's ideology. When Salim discovers his new next-door neighbour is actually his long lost childhood friend, Jack (Benson Obiva), he is delighted. But Jack has become a policeman, a job which in a City increasingly divided by religion and tribe and simmering with violence, places a seemingly unbridgeable gulf between them. Yusuf, Jack and Salim's lives become fatally and irrevocably entwined as Salim struggles to hold his friendship, family and community together.","[""Activism"",""Drama"",""Family"",""Madaraka Day Weekend Movie Marathon Offer"",""Religion"",""Thriller""]","Ali Mlatso, Benson Obiva, Said Muhsin, Aisha Mwajumlah, Nick Reding ",Gail Gay,Okay Pictures
10,11,Short & Sweet,This is the official video for the hit song Short & Sweet by Sauti Sol and Nyashinski. This has been uploaded in 144p for testing purposes and is not for sale.,"[""Drama""]","""Sauti Sol""",Ernest Rojas,Good Guys
11,12,Stacy Kamatu - Coka Mucie,Coka Mucie by Stacy Kamatu,"[""Afro-Fusion""]","""""",Angela Jimenez,Fluent
12,13,Just a Band - Probably for Lovers,Just a Band - Probably for Lovers,"[""Afro-Fusion""]","""Just a Band""",Ryan Murphy,Funny Entertainment
13,14,Sauti Sol - Rewind ft Khaligraph Jones,Sauti Sol - Rewind ft Khaligraph Jones,"[""Afro-Fusion"",""Rap\/Hip-hop""]","""Just a Band""",Robert Elliott,Fluent
14,15,Ben Pol - MOYO MASHINE,Ben Pol - MOYO MASHINE,"[""Afro-Fusion""]","""Just a Band""",Erica Hawkins,Funny Entertainment
15,16,Sauti Sol - Short N Sweet  ft Nyashinski,Sauti Sol - Short N Sweet  ft Nyashinski,"[""Afro-Fusion"",""Rap\/Hip-hop""]","""Sauti Sol""",Cassandra Diaz,Capital Two
16,17,Mercy Masika & Angel Benard - Huyu Yesu,Mercy Masika & Angel Benard - Huyu Yesu,"[""Gospel""]","""Just a Band""",Melinda Long,Jingle Bells
17,23,OCTOPIZZO - Noma Ni,[ItsNambaNaneTV,"[""Rap\/Hip-hop""]","""Octopizzo""",Angela Jimenez,Funny Entertainment
18,24,Sauti Sol - Afrikan Star ft Burna Boy,Sauti Sol - Afrikan Star ft Burna Boy,"[""Rap\/Hip-hop""]","""Sauti Sol""",Erica Hawkins,Capital Two
19,25,CAHIER AFRICAIN,"It all started with a small school exercise book. It's pages were checkered with the courageous testimonies of 300 Central African Republic women, girls and men. They reveal what the Congolese mercenaries did to them in the wake of an armed conflict. On their own initiative, they gathered together their testimonies in this book to record the crimes committed against them.","[""Crime"",""Drama"",""True Story""]",Heidi Specogna,Mrs. Brenda Montgomery MD,XYZ Nation
